"";"AB"
"BAUERS SB, 2019, GER J EXERC SPORT RES";"THE GERMAN FOOTBALL ASSOCIATION AND THE GERMAN FOOTBALL LEAGUE PREVENT INVESTORS FROM HAVING CONTROLLING INFLUENCES OVER PROFESSIONAL FOOTBALL TEAMS. TO COMPETE IN THE BUNDESLIGA, 2ND BUNDESLIGA, 3RD LEAGUE, AND REGIONAL LEAGUES, THE VEREIN (NON-PROFIT ORGANIZATION) MUST CONTROL THE PROFESSIONAL FOOTBALL TEAM. THIS IS POSSIBLE DUE TO THE SO-CALLED `50 + 1 RULE'. WHEN COMPARING OTHER TOP EUROPEAN FOOTBALL LEAGUES, THE `50 + 1 RULE' IS ONLY BEING UTILIZED IN GERMANY. HOWEVER, THIS RULE IS BEING INCREASINGLY CRITICIZED SINCE IT GENERATES LIMITATIONS ON INVESTORS' PROPERTY RIGHTS WITHIN THEIR PROFESSIONAL FOOTBALL TEAM. SOME INVESTIGATIONS CRITICIZE THAT THESE LIMITATIONS ON PROPERTY RIGHTS IMPAIR INVESTMENT INCENTIVES. HENCE, SOME POTENTIAL INVESTORS POSSIBLY HAVE NOT INVESTED IN GERMAN FOOTBALL TEAMS IN THE PAST. TAKING INTO CONSIDERATION THE CRITICISMS AGAINST THE `50 + 1 RULE', THIS PAPER SERVES AS AN INITIAL INVESTIGATION ON THE RULE'S IMPACTS FROM THE PERSPECTIVE OF POTENTIAL INVESTORS. TO EMPIRICALLY WEIGH AND REVEAL POSSIBLE INVESTMENT BARRIERS, POTENTIAL INVESTORS WERE ASKED ABOUT THEIR OPINIONS ON THE `50 + 1 RULE' AND THE RULE'S FUTURE. SURPRISINGLY, WE HAVE IDENTIFIED AN ADVOCACY OF THE RULE. THIS FINDING ILLUSTRATES A SIMILARITY REGARDING THE PERSPECTIVE OF GERMAN FOOTBALL CLUBS, AS WELL AS FOOTBALL FANS, AND A CONTRAST REGARDING THE PERSPECTIVE OF CURRENT INVESTORS. FINALLY, OUR CURRENT AND PREVIOUS SURVEY RESULTS FORM AN IMPORTANT STAKEHOLDER-ORIENTED BASE FOR DISCUSSION IN ORDER TO ASSESS THE FUTURE DECISION REGARDING THE RETENTION OR REPEAL OF THE `50 + 1 RULE'."
"KIPPIN S, 2019, BR POLIT";"THE CO-OPERATIVE PARTY IS THE INDEPENDENT SISTER-PARTY OF THE LABOUR PARTY, WITH WHICH IT HAS HAD A FORMAL RELATIONSHIP SINCE 1927. DESPITE ACHIEVING CONSISTENTLY HIGH LEVELS OF PARLIAMENTARY REPRESENTATION FOR A SMALL PARTY, AS WELL AS ITS UNUSUAL `SISTER PARTY WITHIN THE SAME POLITY' STATUS, IT HAS BEEN THE SUBJECT OF LITTLE ACADEMIC ATTENTION. THIS ARTICLE SEEKS TO BETTER UNDERSTAND THE CO-OPERATIVE PARTY BY ASKING WHAT INFLUENCE IT HAD OVER THE 1997-2010 LABOUR GOVERNMENT'S DECISION TO CREATE THE ORGANISATION SUPPORTERS DIRECT, WHICH PROVIDES ADVICE AND ASSISTANCE TO FOOTBALL SUPPORTERS GROUPS IN ENGLAND WHICH ASPIRE TO ESTABLISHING SUPPORTERS' TRUSTS AS A MEANS OF TAKING A FINANCIAL STAKE IN THEIR CLUBS. UTILISING KINGDON'S MULTIPLE STREAMS APPROACH TO ANALYSE THE `PROBLEM', `POLICY', AND `POLITICS' STREAMS, IT MAKES TWO CORE CONCLUSIONS; (I) THAT POLICY ENTREPRENEURS LINKED TO THE CO-OPERATIVE PARTY WERE ABLE TO DECISIVELY INFLUENCE THE POLICY AGENDA OF THE LABOUR GOVERNMENT AND; (II) THAT THEY DID SO WITHOUT THE INVOLVEMENT OF CO-OPERATIVE PARTY SPONSORED MPS INSTEAD INFLUENCING POLICY IN A MANNER MORE CONSISTENT WITH AN `ADVOCACY' THINK TANK."
"VITALI M, 2019, MEDICINE (BALTIMORE)";"RATIONALE: POSTERIOR STERNOCLAVICULAR JOINT DISLOCATIONS (PSCJDS) ARE PARTICULARLY RARE INJURIES, ACCOUNTING FOR 3\% TO 5\% OF STERNOCLAVICULAR JOINT DISLOCATIONS. WITH VERY FEW CASES REPORTED IN THE LITERATURE, THESE INJURIES ARE OFTEN MISDIAGNOSED AND IMAGING IS NOT ALWAYS CLEAR, THUS MAKING PHYSICIANS OFTEN UNAWARE OF THEM. THE PRESENT CASE REPORT AIMS TO INVESTIGATE A RARE CASE INVOLVING A CLAVICULAR SALTER-HARRIS II FRACTURE WITH ASSOCIATED POSTERIOR DISPLACEMENT OF THE DIAPHYSIS, A TERM COINED A ``PSEUDODISLOCATION.'' PATIENT CONCERNS: WE PRESENT A CASE OF A 14-YEAR-OLD ADOLESCENT WHO SUSTAINED A TRAUMATIC INJURY TO THE SHOULDER WHILE FALLING DURING A SOCCER MATCH. HIS MAIN CONCERN WAS ABOUT RECOVERY TIME AND THE RETURN TO DAILY LIFE ACTIVITIES. DIAGNOSES: MULTIPLE IMAGING STUDIES IMAGING (X-RAYS, COMPUTED TOMOGRAPHY, MAGNETIC RESONANCE IMAGING) REVEALED A SALTER-HARRIS II FRACTURE OF THE RIGHT CLAVICLE WITH POSTERIOR DISPLACEMENT OF THE DIAPHYSIS. INTERVENTIONS: THE PATIENT UNDERWENT PRIMARY SURGERY TO REDUCE THE FRACTURE, USING AN ARTICULAR LOCKING COMPRESSION PLATE, AND SECONDARY SURGERY TO REMOVE THE HARDWARE. OUTCOMES: FOLLOWING THE REMOVAL OF THE HARDWARE AT 60 DAYS AFTER THE INITIAL SURGERY AND A NUMBER OF CYCLES OF PHYSIOTHERAPY THE PATIENT REPORTED A PAIN-FREE RANGE OF MOTION WITH SLIGHT LIMITATION AT EXTREMES. FULL RETURN TO RECREATIONAL AND EVERYDAY LIFE ACTIVITIES WERE ACHIEVED AT 3 MONTHS FROM THE INITIAL SURGERY. LESSONS: THE PSCJDS ARE CHALLENGING INJURIES, AS THEY ARE SURROUNDED BY DELICATE STRUCTURES INSIDE THE MEDIASTINUM. ATTENTION MUST BE TAKEN WHILE DIAGNOSING AND TREATING THESE INJURIES AS THE RISK OF COMPLICATIONS AND IATROGENIC INJURIES IS HIGH. TO THE AUTHOR'S KNOWLEDGE, THIS CASE IS ONE OF THE FIRST OF ITS KIND DESCRIBED IN THE LITERATURE WHERE WE HAVE A SALTER-HARRYS TYPE II FRACTURE ASSOCIATED WITH A POSTERIOR PSEUDODISLOCATION OF THE LATERAL CLAVICLE. GIVEN THE POSITIVE RESULTS OF THE CASE, WE RECOMMEND THE ABOVE-MENTIONED TREATMENT PROTOCOL IN PSCJD WITH ASSOCIATED SALTER-HARRIS II FRACTURES IN ADOLESCENT PATIENTS."
"CRISCI A, 2019, SOC INDIC RES";"OVER THE YEARS FOOTBALL HAS ATTRACTED ENORMOUS INTEREST FROM VARIOUS FIELDS OF STUDY, ATTRACTING ATTENTION BOTH FOR ITS SPORTING AND SOCIAL ASPECTS. PROFESSIONAL BUSINESS OPERATORS CONSIDER FOOTBALL AN IMPORTANT INDUSTRY WITH ENORMOUS POTENTIAL BOTH IN TERMS OF ITS SIZE AND GROWTH, AND ALSO BECAUSE OF INDIRECT BENEFITS DUE TO THE POPULARITY GAINED BY INVESTORS AND MANAGEMENT OF FOOTBALL TEAMS. THE FOCUS OF THE ANALYSIS HAS BEEN ON WHAT CHARACTERIZES MOST FOOTBALL CLUBS, AND DETERMINES THEIR PARTICULAR ECONOMIC AND FINANCIAL NEEDS. THE AIM OF THIS PAPER IS TO ESTABLISH AN EFFICIENCY MEASUREMENT FOR FOOTBALL TEAM FINANCIAL RESOURCE ALLOCATION. IN PARTICULAR, WE ANALYSED THE IMPACT THAT THE INCOME STATEMENT, NET EQUITY AND TEAM VALUE VARIABLES HAVE ON THE POINTS ACHIEVED BY FOOTBALL TEAMS PLAYING IN ``SERIE A'' CHAMPIONSHIP (ITALIAN LEAGUE). THE METHOD USED IN OUR STUDY IS A GENERALIZED ESTIMATING EQUATION (GEE) FOR LONGITUDINAL COUNT DATA. IN ADDITION WE CONSIDER A COEFFICIENT OF DETERMINATION IN THE GEE APPROACH BASED ON WALD STATISTICS, AND WE PROPOSE A MODIFIED MALLOW'S CP FOR CHOOSING THE BEST MODEL. FINALLY WE PROPOSE AN AFRSPORT INDEX BASED ON THE DIFFERENCES BETWEEN OBSERVED AND THEORETICAL POINTS, IN ORDER TO IDENTIFY THOSE TEAMS THAT EFFICIENTLY EMPLOY THEIR FINANCIAL RESOURCES."
"FULLAGAR HHK, 2019, J STRENGTH COND RES";"PRACTITIONERS' PERCEPTIONS REGARDING THE USE AND EFFECTIVENESS OF RESEARCH EVIDENCE IN SPORT IS NOT WELL UNDERSTOOD. THE PURPOSE OF THE PRESENT STUDY WAS TO EXAMINE PRACTITIONERS' PERCEPTIONS AROUND THE USE, IMPLEMENTATION, AND BARRIERS TO EVIDENCE-BASED PRACTICE (EBP) IN SPORT SCIENCE IN THE UNITED STATES OF AMERICA (USA). A SURVEY (28 ITEMS) WAS COMPLETED BY 67 FULL-TIME STAFF WHO WERE A PHYSICAL PERFORMANCE TEAM MEMBER EMPLOYED BY UNIVERSITIES OR PROFESSIONAL SPORTING ORGANIZATIONS IN THE USA. QUESTIONS INCLUDED THE USE OF RESEARCH, CONTRIBUTION OF RESEARCH AREAS, BARRIERS TO ACCESSING AND IMPLEMENTING EBP, AND METHODS OF FEEDBACK TO THE COACH AND PLAYERS. ALL RESPONDENTS (100\%) STATED THEY USED RESEARCH EVIDENCE IN THEIR PERFORMANCE/TRAINING PROGRAM, RANKING RESEARCH AS CONTRIBUTING MOST (LARGEST CONTRIBUTION = 1 TO SMALLEST CONTRIBUTION = 4) TO INDIVIDUALIZED PREPARATION OR RECOVERY RECOMMENDATIONS (1.98 +/- 1.02). THE TOP 3 PREFERRED SOURCES OF INFORMATION WERE ``PEER-REVIEWED RESEARCH'' (100\% OF RESPONDENTS), ``CONFERENCES/SEMINARS'' (76\%), AND ``PRACTITIONERS WITHIN YOUR SPORT'' (63\%). COMMONLY REPORTED PERCEIVED BARRIERS BETWEEN ACCESSING AND IMPLEMENTING RESEARCH WERE ``LACK OF STAFF'' (ACCESSING = 33\%, IMPLEMENTING = 46\%) ``TIME'' (ACCESSING = 38\%, IMPLEMENTING = 48\%) AND NONAPPLICABLE RESEARCH (ACCESSING = 33\%, IMPLEMENTING = 37\%), WHEREAS ``POOR PLAYER COMPLIANCE'' WAS A CLEAR BARRIER TO IMPLEMENTING EBP (56\%). PRACTITIONERS MOST PREFERRED, AND ACTUAL, METHOD OF FEEDBACK FOR COACHING STAFF (87\% FOR BOTH) AND PLAYERS (94 AND 95\%, RESPECTIVELY) WAS ``INFORMAL CONVERSATIONS/SPEAKING.'' IMPROVED ACCESS TO EDUCATIONAL AND FINANCIAL RESOURCES, INCREASED INTEGRATION OF STAFF IN COACH SETTINGS AND UNDERSTANDING OF PLAYER/COACH CONTEXTS MAY HELP TO ALLEVIATE BARRIERS TO EBP."
"HUTH C, 2020, EUR SPORT MANAG Q";"RESEARCH QUESTION: DUE TO THE REINFORCED CONDITIONS OF OFFICIAL REGULATORY CREDIT SCREENING PROCEDURES OF BASEL II AND BASEL III, CREDIT IS NOW MORE DIFFICULT TO OBTAIN FOR RISKY BUSINESS MODELS SUCH AS SPORT CLUBS. THEREFORE, ALTERNATIVE, SUPPORTER-BASED FINANCIAL INSTRUMENTS HAVE BECOME MORE IMPORTANT. THE AIM OF THE STUDY IS TO IDENTIFY FACTORS THAT INFLUENCE THE PURCHASE DECISION OF ACTUAL AND POTENTIAL INDIVIDUAL INVESTORS OF FINANCIAL INSTRUMENTS OF FOOTBALL CLUBS. RESEARCH METHODS: WE USED A STANDARDIZED ONLINE QUESTIONNAIRE TO TRACK FINANCE-RELATED, CLUB ATTACHMENT-RELATED AND SOCIODEMOGRAPHIC FACTORS THAT DESCRIBE POTENTIAL OR ACTUAL EUROPEAN INVESTORS IN SUPPORTER-BASED FINANCIAL INSTRUMENTS. IN TOTAL, 760 RESPONDENTS COMPLETELY FILLED OUT THE QUESTIONNAIRES. RESULTS AND FINDINGS: OUR BIVARIATE AND MULTIVARIATE FINDINGS INDICATE THAT CLUB ATTACHMENT IS ESSENTIAL FOR AN INVESTMENT IN A FOOTBALL CLUB. THE RESULTS ALSO UNDERLINE THAT TRADITIONAL INVESTMENT OBJECTIVES ARE MORE OR LESS IRRELEVANT FOR SUPPORTER-INVOLVED FINANCIAL INSTRUMENTS."
"KOCH N, 2020, SPORT ETHICS PHILOS";"THE NAMES OF TWO MAJOR GULF AIRLINES, QATAR AIRWAYS AND EMIRATES, HAVE SATURATED THE EUROPEAN FOOTBALL SCENE FOR MANY YEARS, SPONSORING SOME OF THE MOST PROMINENT EUROPEAN TEAMS AND FIFA ITSELF. THESE STATE-BACKED AIRLINES ARE ALSO ACTIVE IN MOTORSPORTS, RUGBY, CYCLING, TENNIS, GOLF, CRICKET, AND EQUESTRIAN SPORT, WHILE SEVERAL PROMINENT GULF ELITES AND ROYAL FAMILY MEMBERS HAVE RECENTLY TAKEN OVER MAJOR SPORTS FRANCHISES IN EUROPE AND ELSEWHERE. HOW SHOULD WE UNDERSTAND THESE FAR-REACHING SPONSORSHIP AGENDAS IN THE GULF? WHAT CAN THEY TELL US ABOUT THE POLITICS AND ETHICS OF INTERNATIONAL SPORT ON THE ARABIAN PENINSULA? MOVING BEYOND THE GENERAL READINGS OF GULF SPORT SPONSORSHIP AS AN EXERCISE IN ?SOFT POWER,? THIS ARTICLE SHOWS HOW THESE DEALS ARE STRATEGIC NODES FOR DIVERSE ACTORS IN THE GULF AND IN THE INTERNATIONAL SPORTING COMMUNITY TO ADVANCE VARIOUS INTERESTS: PERSONAL, POLITICAL, FINANCIAL, AND OTHERWISE. INFORMED BY A CRITICAL GEOPOLITICS LENS THAT QUESTIONS THE COHERENCE OF THE ?STATE? AS AN ACTOR, I ASK WHAT IT MEANS TO SAY THAT ?THE GULF? SPONSORS SPORT, AND MORE SPECIFICALLY INVESTIGATE THE RELEVANT ACTORS BEHIND THESE SPONSORSHIP DEALS. TO DO SO, THIS ARTICLE EXAMINES REGIONAL AND GLOBAL POLITICAL ECONOMY THROUGH A FOCUS ON THREE GULF AIRLINE SPONSORS, EMIRATES, ETIHAD, AND QATAR AIRWAYS, AND THREE ELITE SPORTS SPONSORS?THE UAE?S SHEIK MANSOUR, QATAR?S NASSER BIN GHANIM AL-KHELA?FI, AND SHEIKH NASSER OF BAHRAIN. BY DECENTERING ?SOFT POWER? APPROACHES TO SPORT THAT UNDULY EMPHASIZE THE ?STATE? AS AN ACTOR, THIS ARTICLE SUGGESTS A MORE GROUNDED APPROACH TO THE GEOPOLITICS OF SPORT IN THE ARABIAN PENINSULA, WHICH SIMULTANEOUSLY ACKNOWLEDGES THE COMPLICITY OF WESTERN ACTORS AND INSTITUTIONS IN THE RISE OF GULF SPORTS SPONSORSHIP DEALS IN THE PAST DECADE."
"SHABIR A, 2019, NUTRIENTS";"CAFFEINE (CAF) HAS BEEN REPORTED TO IMPROVE VARIOUS FACETS ASSOCIATED WITH SUCCESSFUL SOCCER PLAY, INCLUDING GROSS MOTOR SKILL PERFORMANCE, ENDURANCE CAPACITY AND COGNITION. THESE BENEFITS ARE PRIMARILY ATTRIBUTED TO PHARMACOLOGICAL MECHANISMS. HOWEVER, EVIDENCE ASSESSING CAF'S OVERALL EFFECTS ON SOCCER PERFORMANCE ARE SPARSE WITH NO STUDIES ACCOUNTING FOR CAF'S POTENTIAL PSYCHOLOGICAL IMPACT. THEREFORE, THE AIM OF THIS STUDY WAS TO ASSESS CAF'S PSYCHOLOGICAL VS. PHARMACOLOGICAL INFLUENCE ON VARIOUS FACETS OF SIMULATED SOCCER PERFORMANCE. UTILISING A DOUBLE-DISSOCIATION DESIGN, EIGHT MALE RECREATIONAL SOCCER PLAYERS (AGE: 22 +/- 5 YEARS, BODY MASS: 78 +/- 16 KG, HEIGHT: 178 +/- 6 CM) CONSUMED CAF (3 MG/KG/BODY MASS) OR PLACEBO (PLA) CAPSULES, 60 MIN PRIOR TO PERFORMING THE LOUGHBOROUGH INTERMITTENT SHUTTLE TEST (LIST) INTERSPERSED WITH A COLLECTION OF RATINGS OF PERCEIVED EXERTION (RPE), BLOOD GLUCOSE AND LACTATE, HEART RATE AND PERFORMING THE LOUGHBOROUGH SOCCER PASSING TEST (LSPT). WHOLE-BODY DYNAMIC REACTION TIME (DRT) WAS ASSESSED PRE- AND POST- LIST, AND ENDURANCE CAPACITY (T-LIM) POST, TIME-MATCHED LIST. STATISTICAL ANALYSIS WAS PERFORMED USING IBM SPSS (V24) WHILST SUBJECTIVE PERCEPTIONS WERE EXPLORED USING TEMPLATE ANALYSIS. MEAN T-LIM WAS GREATEST (P < 0.001) FOR SYNERGISM (GIVEN CAF/TOLD CAF) (672 +/- 132 S) VS. PLACEBO (GIVEN PLA/TOLD PLA) (533 +/ - 79 S). HOWEVER, WHEN ISOLATED, T-LIM WAS GREATER (P = 0.012) FOR CAF PSYCHOLOGY (GIVEN PLA/TOLD CAF) (623 +/- 117 S) VS. PHARMACOLOGY (GIVEN CAF/TOLD PLA) (578 +/- 99 S), POTENTIALLY, VIA REDUCED RPE. ALTHOUGH DRT PERFORMANCE WAS GREATER (P = 0.024) POST-INGESTION (+5 HITS) AND POST-EXERCISE (+7 HITS) FOR PHARMACOLOGY VS. PLACEBO, PSYCHOLOGY AND SYNERGISM APPEARED TO IMPROVE LSPT PERFORMANCE VS. PHARMACOLOGY. INTERESTINGLY, POSITIVE PERCEPTIONS DURING PSYCHOLOGY INHIBITED LSPT AND DRT PERFORMANCE VIA POTENTIAL CAF OVER-RELIANCE, WITH THE OPPOSITE OCCURRING FOLLOWING NEGATIVE PERCEPTIONS. THE BENEFITS ASSOCIATED WITH CAF EXPECTANCIES MAY BETTER SUIT TASKS THAT ENTAIL LESSER COGNITIVE-/SKILL-SPECIFIC ATTRIBUTES BUT GREATER GROSS MOTOR FUNCTION AND THIS IS LIKELY DUE TO REDUCED RPE. IN ISOLATION, THESE EFFECTS APPEAR GREATER VS. CAF PHARMACOLOGY. HOWEVER, AN ADDITIVE BENEFIT MAY BE OBSERVED AFTER COMBINING EXPECTANCY WITH CAF PHARMACOLOGY (I.E., SYNERGISM)."
"MARES D, 2019, J SPORT ECON";"HOSTING PROFESSIONAL SPORTS TEAMS IS OFTEN SEEN AS A FINANCIAL BENEFIT FOR CITIES. IN THE FOLLOWING ANALYSIS, WE PROVIDE EVIDENCE THAT SPORTS TEAMS ALSO CARRY COSTS. THE ANALYSIS, THE FIRST EXAMINING A MAJOR LEAGUE BASEBALL TEAM, FINDS SIGNIFICANT INCREASES IN A VARIETY OF CRIMES DURING HOME GAME DAYS OF THE ST. LOUIS CARDINALS. ADJUSTING FOR ATTENDANCE AND GAME LENGTH, THIS STUDY FINDS THAT LARCENIES, MOTOR VEHICLE THEFTS, MINOR ASSAULTS, DISORDERLY CONDUCT, AND DESTRUCTION OF PROPERTY INCREASE IN VOLUME DURING GAME DAYS. INCREASES CONCENTRATE ESPECIALLY AROUND THE IMMEDIATE STADIUM AREA, BUT SOME ARE ALSO OBSERVABLE IN CITYWIDE LEVELS OF CRIME. ADDITIONALLY, THIS STUDY EXAMINES DIFFERENCES BETWEEN THE TIME OF DAY A GAME IS PLAYED AND GAMES PLAYED AGAINST ITS HISTORIC RIVAL, THE CHICAGO CUBS."
"NOWY T, 2020, J SPORT SOC ISSUES";"UNPRECEDENTED NUMBERS OF REFUGEES HAVE AFFECTED EUROPEAN SOCIETY AT LARGE, AND THE ORGANIZED SPORTS SYSTEM, IN PARTICULAR. COMBINING THE CONCEPTS OF ORGANIZATIONAL CAPACITY AND INSTITUTIONAL LOGICS, THIS ARTICLE EXAMINES THE ENGAGEMENT OF VOLUNTARY SPORTS CLUBS (VSCS) IN THE PROCESS OF REFUGEE INTEGRATION. DRAWING ON DATA FROM A REPRESENTATIVE SAMPLE OF N = 5,170 GERMAN VSCS THROUGH AN ONLINE SURVEY, THE RESULTS INDICATE THAT 28\% OF THE VSCS REPORTED ENGAGEMENT IN THE PROCESS OF INTEGRATING REFUGEES BY THE END OF 2015; HOWEVER, ONLY 14\% INITIATED CONCRETE MEASURES. THE STATISTICAL ANALYSIS HIGHLIGHTS THE RELEVANCE OF INSTITUTIONAL LOGICS. VSCS ARE ENCOURAGED TO CAREFULLY HANDLE THE TENSION BETWEEN BUSINESS-LIKE MANAGEMENT AND INTENSIVE VOLUNTARY WORK DURING THE INTEGRATIVE PROCESS. FINANCIAL CAPACITY APPEARS LESS RELEVANT; THE PRESENCE OF MIGRANT CLUB MEMBERS AND A MORE PROFESSIONAL ORGANIZATIONAL DESIGN, HOWEVER, APPEAR BENEFICIAL. THE RESULTS IMPLY THAT INVOLVED STAKEHOLDERS SHOULD INTENSIFY CAPACITY BUILDING PROGRAMS IN THE STRUCTURAL DIMENSION OF ORGANIZATIONAL CAPACITY."
"EVANS R, 2019, ACCOUNT AUDIT ACCOUNT";"PURPOSE THE PURPOSE OF THIS PAPER IS TO PROVIDE AN ASSESSMENT OF THE EFFECTIVENESS OF THE SALARY COST MANAGEMENT PROTOCOL, A FORM OF FINANCIAL REGULATION INTRODUCED BY THE ENGLISH FOOTBALL LEAGUE IN 2004 TO IMPROVE THE FINANCIAL SUSTAINABILITY OF PROFESSIONAL FOOTBALL (I.E. SOCCER) CLUBS. DESIGN/METHODOLOGY/APPROACH THE ANALYTICAL APPROACH IS TO ASSESS THE EFFECT OF THE REGULATION FROM EVIDENCE OF CHANGE IN MEASURES OF THE FINANCIAL PERFORMANCE OF CLUBS DRAWING ON THREE CRITERIA: PROFITABILITY, LIQUIDITY AND SOLVENCY. A UNIQUE DATABASE WAS CREATED FROM THE PUBLISHED FINANCIAL STATEMENTS AND NOTES TO THE ACCOUNTS OF THE CLUBS IN THE TIER 4 LEAGUE (KNOWN SINCE 2004 AS LEAGUE TWO) FROM 1994 TO 2014 TO ENCAPSULATE THE 10-YEAR PERIOD BEFORE AND AFTER THE REGULATION WAS INTRODUCED. TO SHOW TRENDS IN THE DATA WITHIN THE STUDY PERIOD, THE DATA ARE REPORTED IN GRAPHICAL FORM. THE STATISTICAL SIGNIFICANCE OF CHANGE IN BOTH THE SLOPE AND INTERCEPTS FOR TRENDS BETWEEN BREAKS OF INTEREST IN THE DATA IS ESTIMATED BY LINEAR REGRESSION. FINDINGS THE RESULTS SHOW THAT FINANCIAL REGULATION FAILED TO SIGNIFICANTLY IMPROVE THE PROFITABILITY OR THE SOLVENCY OF FOOTBALL CLUBS IN LEAGUE TWO. WHILST THE LIQUIDITY OF THE CLUBS IMPROVED IN RESPONSE TO THE INTRODUCTION OF THE FINANCIAL REGULATION, THE RESULTS SHOW THIS WAS ONLY IN THE YEAR IN WHICH THE FINANCIAL REGULATION WAS INTRODUCED. ORIGINALITY/VALUE THIS IS THE FIRST STUDY TO ASSESS THE IMPACT OF FINANCIAL REGULATION FOR FOOTBALL LEAGUE CLUBS OVER A LONGITUDINAL PERIOD. IT IS ALSO EXTENDS PREVIOUS RESEARCH IN WHICH ONLY SINGLE ASPECTS OF THE FINANCIAL SUSTAINABILITY OF FOOTBALL CLUBS, SUCH AS INSOLVENCY, HAVE BEEN CONSIDERED."
"BAXTER J, 2019, ACCOUNT AUDIT ACCOUNT";"PURPOSE THE PURPOSE OF THIS PAPER IS TO EXTEND THE UNDERSTANDING OF ``THE'' ACCOUNTING ENTITY, DEMONSTRATING HOW IT IS A CONTESTABLE SOCIO-POLITICAL CONSTRUCTION INFORMED BY A NEXUS OF MARKET, STATE AND COMMUNITY ACTORS. DESIGN/METHODOLOGY/APPROACH A CASE STUDY METHOD IS UTILISED TO FOLLOW DEBATE RELATING TO SWEDISH FOOTBALL CLUBS' RESPONSIBILITY FOR THE PAYMENT/NON-PAYMENT OF POLICING COSTS BETWEEN 1999 AND 2014. THE CASE STUDY USES DOCUMENTARY AND INTERVIEW DATA, FOCUSING ON ONE OF THE HIGH-RISK STOCKHOLM CLUBS. FINDINGS THE PAPER MAKES FOUR MAIN CONTRIBUTIONS: FIRST, DEMONSTRATING HOW THE ACCOUNTING ENTITY IS A CHANGEABLE AND CONTESTABLE CONSTRUCTION; SECOND, OUTLINING HOW DISTINCTIONS INFORMING CONTESTS ABOUT THE ACCOUNTING ARENA ARE MATERIALISED THROUGH ACCOUNTING CALCULATIONS AND OTHER DEVICES; THIRD, SHOWING THE IMPORTANCE OF COMMUNITY IN A COORDINATED SENSE IN MEDIATING ACCOUNTING PRACTICES; AND FOURTH, CONTRIBUTING TO THE LITERATURE ON ACCOUNTING AND SPORT, HIGHLIGHTING THE IMPORTANCE OF STATE ACTORS IN THIS ARENA. ORIGINALITY/VALUE THIS RESEARCH DRAWS ON ORIGINAL EMPIRICAL DATA PROVIDING UNIQUE INSIGHTS INTO DEBATES REGARDING THE RESPONSIBILITY FOR THE PAYMENT OF POLICE COSTS IN THE CONTEXT OF SPORTS-RELATED VIOLENCE. THE AUTHORS SHOW THE IMPORTANCE OF CHARACTERISING ACCOUNTING FOR SPORTING ORGANISATIONS AS A SHIFTING AND CONTESTABLE NEXUS OF MARKET, STATE AND COMMUNITY ACTORS."
"OMONDI-OCHIENG P, 2019, J ACCOUNT ORGAN CHANG";"PURPOSE THE PURPOSE OF THIS PAPER IS TO ANALYSE THE EFFECTS OF FIRST-MOVER ADVANTAGE (FMA) ON REVENUE GENERATION CAPACITY (RGC) OF US COLLEGE FOOTBALL PROGRAMMES DURING THE 2008 GLOBAL FINANCIAL CRISIS. DESIGN/METHODOLOGY/APPROACH THE STUDY USED ARCHIVAL DATA ANALYSED QUANTITATIVELY USING NON-PARAMETRIC REGRESSION IN THE FORM OF BINARY LOGISTIC REGRESSION. THE STUDY WAS THEN FRAMED AND INTERPRETED BY THE RESOURCE-DEPENDENCE THEORY. FINDINGS FMA WAS POSITIVELY AND STATISTICALLY ASSOCIATED WITH DONATIONS, BRANDING, MEDIA RIGHTS AND TICKET REVENUES, BUT NOT WIN-LOSS RECORDS. THE BINARY LOGISTIC REGRESSION MODEL WAS CORRECTLY CLASSIFIED AT 82.1 PER CENT OF THE VARIANCE AND INDICATED THAT BRANDING AND TICKET REVENUES WERE MOSTLY ASSOCIATED WITH FMA. RESEARCH LIMITATIONS/IMPLICATIONS - THE STUDY WAS DELIMITED TO PUBLIC COLLEGE FOOTBALL PROGRAMMES IN THE USA DURING THE 2008 GLOBAL FINANCIAL CRISIS. PRACTICAL IMPLICATIONS - THE FINDINGS INDICATED THAT DESPITE THE 2008 GLOBAL FINANCIAL CRISIS, FMA WAS POSITIVELY ASSOCIATED WITH RGC BUT NOT WIN-LOSS RECORDS. ORIGINALITY/VALUE THE STUDY WAS PIONEERING IN EVALUATING THE EFFECTS OF FMA AS A SOURCE OF COMPETITIVE ADVANTAGE IN COLLEGE FOOTBALL PROGRAMMES DURING THE CHALLENGING TIME OF THE 2008 GLOBAL FINANCIAL CRISIS."
